Typo,Ground_Truth,Transformer_Score,Rank,Edit_Distance
alwas,always,0.055341,7,1
fr,for,0.049450,5,1
a8hthorized,authorized,0.003214,12,2
provie,provide,0.658845,1,1
r,or,0.099940,2,1
mnuipcll,municipal,0.008811,22,5
centr,center,0.000171,70,1
remaiing,remaining,N/A,N/A,1
syri8nga,syringa,N/A,N/A,1
Ramidez,Ramirez,N/A,N/A,1
brothes,brothers,0.001786,45,1
exclusvieness,exclusiveness,N/A,N/A,1
metropokis,metropolis,0.002157,63,1
iisist,insist,0.768546,1,1
lt,lost,0.005883,24,2
regiandd,regained,N/A,N/A,2
efecfive,effective,0.001087,44,2
bicke5ing,bickering,N/A,N/A,1
o,to,0.990861,1,1
rgeiment,regiment,0.008159,12,1
yu4r,your,0.000583,30,2
wnbo,who,0.870124,1,2
trnouvhh,through,0.004085,26,4
u[p,up,0.063053,3,1
manuofes6yed,manifested,N/A,N/A,4
lfet,left,0.355499,1,1
whee,where,0.358865,1,1
visiing,visiting,0.012962,13,1
n,on,0.053511,3,1
Or,Our,0.579189,1,1
erfect,effect,0.001609,54,1
tiss,ties,0.008398,14,1
Ametdican,American,0.231659,1,2
iis,its,0.027865,2,1
Administarion,Administration,0.113695,2,2
alerafy,already,0.145227,1,2
clerr,clear,0.504854,1,1
tee,the,0.274924,1,1
veyy,very,0.094198,3,1
conneted,connected,0.012497,15,1
soee,some,N/A,N/A,1
eys,eyes,0.004842,17,1
Hae,Hague,N/A,N/A,2
lildess,lidless,N/A,N/A,1
maintaihs,maintains,0.672314,1,1
stiting,sitting,0.284069,2,1
suce,side,0.564627,1,2
wedek,week,0.230483,2,1
bbgrryll,betrayal,N/A,N/A,4
stck,stock,0.001270,86,1
disclsure,disclosure,N/A,N/A,1
decene,defense,0.277119,1,2
pr4lsude,prelude,0.544355,1,2
lttle,little,N/A,N/A,1
beftore,before,0.009488,19,1
Ak.ays,Always,0.158567,2,2
Jhonnie,Johnnie,N/A,N/A,1
Se,She,0.008239,8,1
ousiee,outside,0.002107,35,2
thse,the,0.999597,1,1
iipr4ssion,impression,0.753943,1,2
state,statue,0.004466,48,1
hlods,holds,N/A,N/A,1
whimned,whinnied,N/A,N/A,2
speehh,speech,0.004786,35,1
tee,the,0.389665,1,1
specificiyy,specificity,N/A,N/A,1
ssct9ons,sections,0.000509,32,2
odf,of,0.002639,56,1
tee,the,0.004267,2,1
yaers,years,0.442888,1,1
thse,the,0.973576,1,1
b..ends,blends,N/A,N/A,2
ditrtt,district,N/A,N/A,3
plwsr,power,0.012442,10,2
prtcice,practice,N/A,N/A,2
sn,sin,0.003630,25,1
lievs,lives,0.002347,57,1
Yor,Your,0.057979,4,1
ssme,same,0.751627,1,1
raionalistic,rationalistic,N/A,N/A,1
Pyt,Part,0.012467,9,2
cnissts,consists,0.273895,1,2
spirital,spiritual,0.018073,7,1
icnrease,increase,0.320106,1,1
sustance,substance,N/A,N/A,1
nnted,noted,0.155409,3,1
Artilce,Article,0.279473,1,1
whsoe,whose,0.959564,1,1
neighobrhood,neighborhood,0.474554,1,1
tangee,tangle,N/A,N/A,1
foundigg,founding,0.005777,11,1
Intestate,Interstate,0.404163,1,1
deliberaitos,deliberations,N/A,N/A,2
proopsd,proposed,0.065690,2,2
figue,figure,0.833860,1,1
firt,first,0.178371,2,1
tee,the,0.001650,99,1
aad,and,0.073314,2,1
low,law,0.008596,11,1
stll,still,0.053315,2,1
polit9cal,political,0.284704,1,1
WWco,Waco,N/A,N/A,1
spirtt,spirit,0.009081,14,1
udnesrtond,understand,0.309527,1,3
preily,precisely,0.380923,1,3
exersed,exercised,0.018313,2,2
satsifacotyy,satisfactory,0.004776,29,3
develompent,development,0.099768,3,1
firever,forever,0.980359,1,1
ad,and,0.786178,1,1
Pam,Palm,0.001870,78,1
smoething,something,0.115174,1,1
metionig,mentioning,N/A,N/A,2
time-honred,time-honored,N/A,N/A,1
ppitt,point,0.016872,9,2
nveer,never,0.006514,24,1
tw9ngezs,twinges,N/A,N/A,2
advrtising,advertising,N/A,N/A,1
pbulitiy,publicity,N/A,N/A,3
co-opeatinn,co-operation,N/A,N/A,2
Phsyical,Physical,0.677136,1,1
amd,and,0.895589,1,1
tte,the,0.053353,2,1
ltaest,latest,0.043040,3,1
ony,only,0.151150,2,1
pulbcc,public,0.272245,1,2
p4doblem,problem,N/A,N/A,2
bey,boy,N/A,N/A,1
neiggybor,neighbor,0.003434,46,2
obained,obtained,0.023275,6,1
f4om,from,0.037038,5,1
nw,now,0.085782,1,1
aad,and,0.045490,5,1
threeafter,thereafter,N/A,N/A,1
b0ss,boys,N/A,N/A,2
ggt,get,0.001639,80,1
becuse,because,0.311655,2,1
Cofdrence,Conference,0.193338,1,2
delyadd,delayed,0.011778,6,2
bgn,begun,0.365248,1,2
teavh,teach,0.074813,4,1
rsut,result,0.000673,69,2
hambruger,hamburger,0.013855,17,1
groce,grace,0.020885,8,1
doier,door,0.397611,1,2
proceudrs,procedures,0.141765,1,2
alomsft,almost,0.000800,83,2
rapily,rapidly,0.102781,2,1
o,to,0.616962,1,1
hhm,him,0.142822,2,1
sad,said,0.040449,2,1
Souhh,South,0.004705,34,1
Timm,Tim,0.374759,1,1
designtaed,designated,N/A,N/A,1
Negoes,Negroes,N/A,N/A,1
n,in,0.364131,2,1
foud,found,0.173483,1,1
li65erature,literature,0.002337,70,2
Spanisn-Aemircan,Spanish-American,N/A,N/A,3
meterigg,metering,N/A,N/A,1
wree,were,0.674668,1,1
mateiral,material,0.008022,17,1
portrats,portraits,0.005074,30,1
wavelengh,wavelength,N/A,N/A,1
iifrared,infrared,0.772145,1,1
aplicatikon,application,0.294193,1,2
vsrge,verge,0.993804,1,1
Tee,The,0.622361,1,1
dfned,defined,0.330011,1,2
te,the,0.093533,1,1
mateiral,material,0.004206,24,1
supeir,superior,0.005744,25,2
afain,again,0.003120,48,1
ccnventional,conventional,0.006522,16,1
Leving,Leaving,0.305967,1,1
whn,when,0.061048,2,1
Gersahwni',Gershwins',N/A,N/A,3
o,to,0.995506,1,1
Bosotn,Boston,0.661008,1,1
pomotion,promotion,N/A,N/A,1
canot,cannot,0.144322,2,1
ekonomic,economic,0.009689,15,1
inetrnationally,internationally,0.000923,90,1
splis,splits,N/A,N/A,1
r,for,0.611480,1,2
industril,industrial,0.007227,17,1
slowdd,slowed,0.002542,57,1
almlest,almost,0.325851,2,2
ank;e,ankle,0.863360,1,1
Eagt,East,0.519911,1,1
govrenemnt,government,0.011770,12,2
zne,zone,0.049388,2,1
t,it,0.012928,11,1
aad,and,0.085713,3,1
ovefd-all,over-all,N/A,N/A,2
temrs,terms,0.004227,19,1
s,is,0.725641,1,1
uesless,useless,N/A,N/A,1
whikh,which,0.976849,1,1
bbtohers,brothers,0.006738,19,2
anfd,and,0.017206,8,1
t,at,0.525080,1,1
t4qffic,traffic,0.153343,1,2
Rexesrtuctiin,Reconstruction,N/A,N/A,5
Easwtick,Eastwick,N/A,N/A,1
k;led,killed,0.002312,49,2
Subawys,Subways,N/A,N/A,1
balconiees,balconies,N/A,N/A,1
Lwtinn,Latin,0.002562,50,2
Od,Old,0.006443,25,1
Frmcixdco's,Francisco's,N/A,N/A,4
fvor,favor,0.002406,55,1
Dn,Don,0.436895,1,1
Maye,Maybe,0.022503,9,1
fafmers',farmers',N/A,N/A,1
icome,income,0.073936,2,1
bilkikon,billion,0.957893,1,2
wen,when,0.340279,1,1
inustrial,industrial,0.001072,94,1
la2yr,lawyer,0.039232,3,2
ito,into,0.230104,1,1
ezztate,estate,0.982415,1,2
whuch,which,0.342927,2,1
misundertood,misunderstood,N/A,N/A,1
ppecipittadd,precipitated,N/A,N/A,3
souon,solution,0.067714,2,3
Natinoal,National,0.102800,2,1
Moraxe,Morse,N/A,N/A,2
plaintvee,plaintive,N/A,N/A,2
tis,this,0.277980,1,1
detl,detail,0.003243,39,2
ws,was,0.979244,1,1
sinal,signal,N/A,N/A,1
pt,pot,0.385716,1,1
changws,changes,0.020600,6,1
ocurring,occurring,0.313603,1,1
disinct,distinct,0.026256,5,1
hhat,heat,0.002145,24,1
rapiyy,rapidly,0.260401,1,2
moujtainous,mountainous,0.002581,39,1
on;y,only,0.009253,16,1
Tehre,There,0.924233,1,1
souyheast,southeast,0.071245,6,1
bured,burned,0.012223,18,1
ofainc,organic,N/A,N/A,3
silghtly,slightly,0.118288,1,1
aaleged,alleged,N/A,N/A,1
diminhd,diminished,N/A,N/A,3
sociabiliy,sociability,N/A,N/A,1
cance,chance,N/A,N/A,1
sud0t5ise,surprise,0.005767,7,4
b3cause,because,0.000558,72,1
unquestionabyy,unquestionably,N/A,N/A,1
bekause,because,0.037388,10,1
proviee,provide,0.645172,1,1
qu4stii9n,question,0.875200,1,3
intreet,interest,N/A,N/A,2
clasoows,classics,0.008218,8,3
pdtevailing,prevailing,0.049684,5,2
fknancig,financing,0.012455,11,2
mabnine,machine,0.005811,30,2
shlal,shall,0.299343,1,1
shge,she,0.158501,1,1
adice,advice,0.409461,1,1
odf,of,0.903796,1,1
complswx,complex,0.002024,73,2
complrrtd,completed,0.128728,2,3
monhts,months,0.826459,1,1
tjee,the,0.017019,6,2
"beco,ng",becoming,0.313909,1,2
greatet,greatest,0.033844,5,1
usnig,using,N/A,N/A,1
eed,end,0.014526,12,1
hss,has,0.025439,6,1
courageouzly,courageously,N/A,N/A,1
crsis,crisis,N/A,N/A,1
MMrx,Marx,0.066044,5,1
fid,find,0.069264,4,1
ths,this,0.449352,1,1
ccld,cold,0.031352,6,1
unbslanced,unbalanced,N/A,N/A,1
ccilren,children,0.005346,23,2
adaoted,adapted,0.001653,21,1
tejir,their,0.661685,1,2
persoanly,personally,0.018975,14,2
cwzmpaignrss,campaigners,N/A,N/A,4
bt,but,0.885338,1,1
remembnrves,remembrances,N/A,N/A,4
peple,people,0.002500,45,1
mn,man,N/A,N/A,1
blif,belief,0.038861,7,2
pepoke,people,0.024254,4,2
geatly,greatly,0.001006,55,1
wll,will,0.553984,1,1
wjjthout,without,0.053585,3,2
f,of,0.372905,1,1
hhr,her,0.226360,1,1
EEomnia,Edmonia,N/A,N/A,2
sugtem,system,0.513353,1,2
woodsmke,woodsmoke,N/A,N/A,1
partciularly,particularly,0.101134,4,1
thot,that,0.059900,5,1
sociahke,sociable,N/A,N/A,2
Coriolanss,Coriolanus,N/A,N/A,1
f,of,0.005229,21,1
piontedly,pointedly,0.003131,60,1
skffing,scoffing,N/A,N/A,2
enoursge,encourage,0.073308,5,2
p4ograss,programs,0.518869,1,2
schoos,schools,0.585479,1,1
winikng,winking,N/A,N/A,1
mdae,made,0.956110,1,1
labroio8sly,laboriously,N/A,N/A,2
artilce,article,N/A,N/A,1
Mone,Monte,N/A,N/A,1
Cneer,Center,0.000740,82,2
tee,the,0.070716,1,1
ene4ty,energy,0.405415,1,2
druing,during,0.000305,27,1
llss,less,0.844745,1,1
htpyothalakus,hypothalamus,N/A,N/A,3
frequemjcy,frequency,0.015265,9,2
amplitdue,amplitude,0.070270,2,1
miust,mist,N/A,N/A,1
persuasonn,persuasion,0.178043,2,2
bronn,brown,0.039106,3,1
cajn,can,0.004050,47,1
ccee,came,0.073674,4,2
cohosss,chooses,0.004553,23,2
s3nsbile,sensible,0.004016,43,2
thwt,that,0.005123,8,1
e,he,0.005333,18,1
fuohd,found,N/A,N/A,2
ppow,plow,N/A,N/A,1
cencs4rt,concert,0.151081,1,3
anorgher,another,0.840890,1,2
neoclptical-hypothlamic,neocortical-hypothalamic,N/A,N/A,3
intreesring,interesting,N/A,N/A,2
insead,instead,0.711491,1,1
waned,wanted,0.033050,4,1
tri9plets,triplets,N/A,N/A,1
yu,you,0.323196,1,1
suppying,supplying,0.383656,1,1
sihmgle,single,0.010206,20,2
steamg-eneration,steam-generation,N/A,N/A,1
mogtt,might,0.251428,2,2
bbabiing,babbiting,N/A,N/A,2
tehy,they,0.598951,1,1
Whitnyy,Whitney,N/A,N/A,1
attrti00n,attrition,N/A,N/A,3
pluled,pulled,0.079703,2,1
pitchssd,pitched,0.002020,58,2
ahdd,and,0.137633,1,2
remaiinng,remaining,N/A,N/A,1
tte,the,0.296346,1,1
on.y,only,0.001180,30,1
"beco,king",becoming,N/A,N/A,2
ppatoon,platoon,0.002448,59,1
tye,the,0.045512,3,1
regjment,regiment,0.029431,8,1
Wnn,When,0.255710,1,2
SSndbrgg,Sandburg,N/A,N/A,3
grapveies,grapevines,N/A,N/A,2
Switzreland,Switzerland,0.014484,16,1
aencdote,anecdote,N/A,N/A,1
add,and,0.503240,1,1
te,the,0.101844,2,1
peaant,peasant,0.001021,95,1
ocur,occur,0.212459,3,1
tradres,traders,0.001820,62,1
frmm,from,0.454181,1,1
poinyt,point,0.003371,34,1
sripnkling,sprinkling,N/A,N/A,2
draggdd,dragged,N/A,N/A,1
revelarion,revelation,0.020794,8,1
banna,banana,N/A,N/A,1
fer,for,0.003535,8,1
th3e,the,0.006031,24,1
thkse,those,0.005015,26,1
frm,from,0.017290,6,1
Yrk,York,0.187955,2,1
nhht,night,0.324260,1,2
th4e,the,0.999450,1,1
cold,could,0.994000,1,1
leades,leaders,0.101725,2,1
polit8ocal,political,N/A,N/A,2
p0pwer,power,N/A,N/A,2
wwrdd,world,N/A,N/A,2
nnt,not,0.019973,9,1
makert,market,0.003988,17,2
buss,buys,0.937965,1,1
ooligation,obligation,0.249006,1,1
oly,only,0.942510,1,1
neessites,necessities,N/A,N/A,2
unfortunatrely,unfortunately,0.145002,1,1
doujng,doing,0.491768,1,2
styaing,staying,0.021248,11,1
tabe,table,0.247578,1,1
Aemrcains,Americans,0.001853,66,3
Cem4tery,Cemetery,0.005036,35,1
te,the,0.349732,1,1
Yrok,York,0.629925,1,1
likey,likely,0.270110,1,1
pominent,prominent,N/A,N/A,1
obseevtions,observations,0.219915,2,2
te,the,0.359383,1,1
emiss8on,emission,0.021613,8,1
Aams,Adams,0.506522,1,1
Rifhts,Rights,0.000988,24,1
aad,and,0.974395,1,1
hospiyl,hospital,0.229503,1,2
bbt,but,0.386063,1,1
fir,for,0.543001,1,1
asessmwnt,assessment,0.005994,8,2
occr,occur,0.054265,3,1
forve,force,0.875238,1,1
hhad,head,0.173938,2,1
tobgue,tongue,0.017394,3,1
s,was,0.014557,6,2
tte,the,0.026525,3,1
h3er,her,0.021732,6,1
ccndukct,conduct,0.004997,24,2
Cos,Cross,0.951978,1,2
lops,lips,0.321771,1,1
womann,woman,0.169659,2,1
kn3w,knew,0.025256,8,1
ad,and,0.287826,1,1
revime,regime,N/A,N/A,1
requriemets,requirements,N/A,N/A,2
brany,brandy,0.085619,4,1
wolud,would,0.635736,1,1
commissionrr,commissioner,0.361155,2,1
rlued,ruled,0.168169,1,1
pr3vipusly,previously,0.004327,23,2
poressor,professor,0.007178,21,2
ws,was,0.164759,2,1
lif4e,life,N/A,N/A,1
bok,block,N/A,N/A,2
staisfied,satisfied,N/A,N/A,1
wharevr,whatever,0.351450,2,2
Svidt,Soviet,0.007691,15,2
ccllar,collar,0.000252,63,1
Constructoin,Construction,N/A,N/A,1
tasnferrwwd,transferred,0.680944,1,4
diviisn,division,0.056039,3,2
withuot,without,0.433551,2,1
r,or,0.001937,9,1
riht,right,0.009200,13,1
watiing,waiting,0.457284,1,1
tpo,to,0.935349,1,1
Yuu,You,0.062136,4,1
ssy,say,N/A,N/A,1
u-turn,upturn,N/A,N/A,1
saels,sales,N/A,N/A,1
dkes,does,0.962022,1,1
w9ried,worried,0.047011,3,2
stciky,sticky,0.013908,9,1
ajhd,and,0.777181,1,2
Fam88ly,Family,0.002797,37,2
prtiipacte,participate,0.707814,1,3
sciene,science,N/A,N/A,1
hhs,has,0.009527,23,1
defneible,defensible,N/A,N/A,2
iienion,invention,N/A,N/A,3
tee,the,0.200354,1,1
me5qw[hysicals,metaphysicals,N/A,N/A,4
wwnt,want,0.493237,1,1
gros,grows,0.461873,1,1
dos,dogs,N/A,N/A,1
slkw,slow,0.033554,3,1
talkenn,taken,0.673260,1,2
brcause,because,0.750672,1,1
cram,cream,0.805911,1,1
dahh,dash,0.170591,1,1
appontiment,appointment,0.425320,1,2
ingluejtial,influential,0.022674,8,2
Adminitartion,Administration,0.720482,1,2
ccmounded,compounded,N/A,N/A,2
stayistiacl,statistical,N/A,N/A,2
ay,any,0.006952,8,1
wl,well,0.016268,14,2
intreest,interest,N/A,N/A,1
whih,which,0.095234,3,1
ancd,and,0.024988,6,1
caron,carbon,0.520903,1,1
tetachloride,tetrachloride,N/A,N/A,1
fractuuonss,fractions,N/A,N/A,3
acoves,alcoves,N/A,N/A,1
thde,the,0.912239,1,1
thee,the,0.255390,1,1
rveoluti9n,revolution,0.055170,2,2
passpot,passport,N/A,N/A,1
Sabndmn,Sandman,N/A,N/A,2
ttme,time,0.234857,2,1
decinugg,declining,N/A,N/A,3
frmm,from,N/A,N/A,1
numrbs,numbers,0.085908,2,3
ad,and,0.004181,6,1
haer,hear,0.986045,1,1
cloxding,closing,0.001108,98,2
wonedfrul,wonderful,0.002209,66,2
palens,planes,N/A,N/A,2
CCntraction,Contraction,N/A,N/A,1
muscee,muscle,N/A,N/A,1
Thetfe,There,0.999489,1,2
immeiately,immediately,N/A,N/A,1
jouned,joined,N/A,N/A,1
e,He,0.066508,1,1
Avuee,Avenue,N/A,N/A,3
y,by,0.238446,1,1
motnrr,mother,0.211971,2,2
Srcetary,Secretary,0.003089,12,2
ws,was,0.170399,2,1
wwloe,whole,0.581089,1,2
fites6t,first,0.023441,6,3
encp8nter,encounter,N/A,N/A,2
neighorhood,neighborhood,0.000843,29,1
lrge-scale,large-scale,N/A,N/A,1
rad8aiton,radiation,0.066211,2,2
attenion,attention,0.014894,5,1
tee,the,0.826200,1,1
pitkfer,pitcher,N/A,N/A,2
pase,phase,0.045630,4,1
reactin,reaction,0.063573,2,1
ttan,than,0.999088,1,1
te,the,0.100087,1,1
Atf,Af,N/A,N/A,1
ws,was,0.002856,52,1
decsin,decision,0.606046,1,2
clam,claim,0.001739,78,1
pt,put,0.657354,1,1
lagrrr,larger,0.038284,6,2
de-iodinared,de-iodinated,N/A,N/A,1
perihperally,peripherally,N/A,N/A,1
st99t,strict,0.001132,98,3
impuniy,impunity,N/A,N/A,1
Pt,Pat,N/A,N/A,1
kown,known,0.255219,1,1
aloo,also,0.121978,3,1
wvaes,waves,0.001225,83,1
wthuot,without,N/A,N/A,2
evenins,evenings,0.027184,6,1
ws,was,0.004629,5,1
y,by,0.916540,1,1
stoe,stove,0.354262,1,1
aad,and,0.136922,1,1
colf,calf,0.134475,1,1
Godoyy,Goody,N/A,N/A,2
nev4wr,never,0.012699,14,2
sscond,second,0.094633,4,1
evn,even,N/A,N/A,1
Eah,Each,0.792003,1,1
aaditionql,additional,0.017145,9,2
coll,coal,N/A,N/A,1
ann7al,annual,0.056797,3,1
wjnich,which,0.362249,1,2
agreemet,agreement,0.709933,1,1
growfh,growth,N/A,N/A,1
wee,were,0.981551,1,1
Swit,Swift,N/A,N/A,1
fro43nsdnup,friendship,0.003447,56,6
Artificr,Artificer,N/A,N/A,1
mexsage,message,0.030222,6,1
ad,and,0.026770,4,1
toal,total,0.070409,1,1
sahre,share,0.002124,89,1
cmoemnts,comments,N/A,N/A,2
baeyy,barely,N/A,N/A,2
azs,as,0.937901,1,1
althoguh,although,0.141336,3,1
wss,was,0.106216,4,1
Itenifiaction,Intensification,N/A,N/A,3
taht,that,0.047699,1,1
brn,born,0.013236,9,1
fult,fault,0.096690,1,1
te,the,0.991409,1,1
shpigg,shaping,0.002460,32,2
rvolutonry,revolutionary,0.003228,34,3
form,from,0.182332,2,1
adde4d,added,0.017701,15,1
yers,years,0.373950,1,1
appearanc4s,appearances,0.925616,1,1
thdwr,their,0.702251,1,2
theee,there,0.507759,1,1
tto,too,0.005168,14,1
brnch,branch,N/A,N/A,1
a54ea,area,N/A,N/A,2
cloet,closet,0.254688,1,1
mus,mugs,N/A,N/A,1
tte,the,0.104716,2,1
tht,that,0.405502,2,1
reognize,recognize,0.244552,1,1
fisacl,fiscal,N/A,N/A,1
svere,severe,N/A,N/A,1
Ms4morial,Memorial,0.309860,1,2
Msadow,Meadow,N/A,N/A,1
Gene-Prinkvess,Gene-Princess,N/A,N/A,2
yyu,you,0.009128,15,1
slideas,slides,N/A,N/A,1
becme,became,0.185768,1,1
countenane,countenance,N/A,N/A,1
recoghnized,recognized,0.049385,4,1
Thn,Then,0.020975,9,1
ttcuhs,touches,0.291478,1,3
hs,his,0.286178,2,1
restrctig,restricting,N/A,N/A,2
Frankurt,Frankfurt,0.022506,12,1
Btonislaw,Bronislaw,N/A,N/A,1
Oreshtra,Orchestra,0.056799,2,3
ssventeen,seventeen,N/A,N/A,1
begter,better,0.113839,1,1
seeral,several,0.037816,6,1
kkow,know,N/A,N/A,1
teenwgy,teensy,N/A,N/A,2
reorptdd,reported,0.003763,41,3
AAalyis,Analysis,N/A,N/A,2
Frm,From,0.948944,1,1
esat,east,0.002533,56,1
mkjssnig,missing,0.015895,11,3
b6y,by,0.002464,59,1
membess,members,0.044272,3,1
cub,curb,N/A,N/A,1
Natiojjs,Nations,0.800451,1,2
tat,that,0.001013,50,1
nlt,not,0.433535,1,1
delbieratey,deliberately,0.011293,12,2
scuh,such,0.003572,29,1
otherwie,otherwise,0.361249,1,1
te,take,0.095680,3,2
ferced,forced,0.003921,33,1
chaacteristic,characteristic,0.030706,6,1
gg9d,good,0.003073,30,2
cuse,cause,0.080016,3,1
w0luld,would,0.013334,9,2
wrwther,whether,0.085492,2,2
agtiatknn,agitation,N/A,N/A,3
obtin,obtain,0.009878,19,1
diff3rent,different,0.047310,3,1
taht,that,0.008457,21,1
Hel.va,Helva,N/A,N/A,1
flky,flaky,N/A,N/A,1
abut,about,0.017154,9,1
whih,which,N/A,N/A,1
rrverr,river,0.041156,5,2
Pittsubrgh,Pittsburgh,N/A,N/A,1
cpmplege,complete,0.004158,36,2
soon,saloon,N/A,N/A,2
Palya,Playa,N/A,N/A,1
Vetnuaa,Ventura,0.008625,17,2
givigg,giving,0.026563,7,1
dirve,drive,0.013700,8,1
resifential,residential,0.002197,36,1
thtt,that,0.007326,9,1
conrgirbutes,contributes,0.770207,1,3
hottes,hattes,N/A,N/A,1
slke,silke,N/A,N/A,1
wss,was,0.010203,2,1
wering,wearing,0.801389,1,1
buky,bulky,0.010799,22,1
relevntt,relevant,0.007922,12,2
rrgulatilns,regulations,0.261977,1,2
dubt,doubt,0.001733,74,1
puoes,pounds,0.021397,9,3
Arbia,Arabia,0.926323,1,1
Bt,But,0.031264,2,1
yu,you,0.283122,2,1
NNture,Nature,0.002001,26,1
hadns,hands,0.043879,5,1
tq8ned,twined,N/A,N/A,2
Bridhhet,Bridget,N/A,N/A,2
Mttbe,Maybe,0.206735,2,2
magasine,magazine,N/A,N/A,1
wws,was,0.001045,69,1
br9ng,bring,0.010240,4,1
Fifeenth,Fifteenth,0.051183,4,1
grwrat,great,0.295983,1,2
cosnumer,consumer,0.028427,5,1
iilcuding,including,0.955917,1,2
velptcy,velocity,0.048056,4,4
towads,towards,0.045696,3,1
becmoing,becoming,0.067242,3,1
likelio0d,likelihood,N/A,N/A,2
setted,settled,N/A,N/A,1
sstem,system,0.004426,32,1
servigg,serving,0.016447,12,1
h8gh,high,0.742217,1,1
so4body,somebody,0.239124,2,2
msifortine,misfortune,N/A,N/A,2
hd,head,0.091080,2,2
tbis,this,0.036346,5,1
tijje,time,0.012346,4,2
sis,sins,0.002017,67,1
ocf,of,0.031335,7,1
Commnuinn,Communion,0.007003,27,2
soicety,society,0.191365,1,1
tee,the,0.808480,1,1
llwerr,lower,0.108380,3,2
mainatin,maintain,0.066066,3,1
te,the,0.955508,1,1
industy,industry,0.570397,1,1
wih,with,0.185573,2,1
reqirs,requires,0.004277,29,2
stte,state,N/A,N/A,1
thef4e,there,0.994521,1,2
rn,run,0.341349,1,1
thse,these,0.021554,3,1
be4s,bees,0.015810,6,1
fot,foot,N/A,N/A,1
conetkswd,connected,0.018571,9,5
conssits,consists,0.734936,1,1
oriening,orienting,N/A,N/A,1
swnsitive,sensitive,N/A,N/A,1
y'a;ll,y'all,N/A,N/A,1
ridlds,riddles,N/A,N/A,2
exprdssion,expression,0.056064,3,1
mass,makes,0.547412,1,2
lcid,lucid,N/A,N/A,1
hs,has,0.010896,5,1
cc8irse,course,0.178781,1,3
Rhdoe,Rhode,0.947006,1,1
heo,hero,0.029441,4,1
sufe,sure,0.795547,1,1
Bedrch,Beech,N/A,N/A,2
gice,give,0.002179,55,1
sulpctured,sculptured,N/A,N/A,2
lpok,look,0.013258,15,1
c0ld,cold,0.001655,77,1
bu9dler,builder,N/A,N/A,2
OOasionally,Occasionally,0.041911,6,2
adifiohbal,additional,0.037251,4,4
rrvalrirs,rivalries,N/A,N/A,2
develpoed,developed,N/A,N/A,1
tge,the,0.784047,1,1
failiar,familiar,0.014694,10,1
nt,not,0.005509,29,1
inerview,interview,0.003288,31,1
seftle,settle,0.003418,43,1
bloosy,bloody,0.001775,99,1
unulated,undulated,N/A,N/A,1
f9r,for,0.002883,37,1
Quesiton,Question,0.002610,26,1
ueddd,used,0.002971,56,3
"mar,ed",marked,0.003051,60,1
mon,man,N/A,N/A,1
monts,months,0.249252,2,1
gaa,gala,N/A,N/A,1
shmmer,summer,N/A,N/A,1
btter,better,0.063940,3,1
wkuld,would,0.088770,3,1
ihn,in,0.028472,6,1
te,the,0.333152,1,1
ptt,part,0.096002,2,2
wh9le,whole,0.002215,82,1
responsibiltiy,responsibility,0.533458,1,1
ec9noimc,economic,0.027226,6,2
watershdes,watersheds,N/A,N/A,1
tte,the,0.014096,7,1
imlortnt,important,0.005645,21,2
Savation,Salvation,N/A,N/A,1
gwsneration,generation,0.001289,50,2
Edonbomic,Economic,0.056645,5,2
disbodience,disobedience,N/A,N/A,2
amd,and,0.785209,1,1
g;anced,glanced,0.001943,62,1
Parela,Parella,N/A,N/A,1
imae,image,0.876114,1,1
thnig,thing,0.239859,2,1
th0ugt,thought,0.191664,1,2
t,It,0.999543,1,1
fisrt,first,0.191885,2,1
wole,whole,N/A,N/A,1
tue,the,0.356234,1,1
rpeect,respect,0.077047,4,3
fe9r,for,0.997907,1,2
ws,was,0.037370,6,1
vesr98on,version,0.010946,17,3
Pasad4ena,Pasadena,N/A,N/A,1
spotreist,sportiest,N/A,N/A,2
millios,millions,0.562038,1,1
ciche,cliche,N/A,N/A,1
race-drivess,race-drivers,N/A,N/A,1
whch,which,0.837528,1,1
wwr,war,N/A,N/A,1
"cal.,ed",called,0.012166,11,2
fr9lm,from,0.997446,1,2
adjustig,adjusting,0.013986,9,1
calndars,calendars,N/A,N/A,1
WWllsville,Wellsville,N/A,N/A,1
fi8xed,fixed,0.012237,14,1
hve,have,0.802115,1,1
abott,about,0.997967,1,1
fctor,factor,0.925070,1,1
tyere,there,0.999780,1,1
CCrl,Carl,N/A,N/A,1
savoing,savoring,N/A,N/A,1
editir,editor,0.001773,38,1
feelig,feeling,0.094648,3,1
ch9rus,chorus,0.035959,8,1
Serivce,Service,N/A,N/A,1
thnn,than,0.473652,1,1
grous,groups,0.016261,14,1
chlirden,children,0.034563,6,2
Turnng,Turning,0.002504,51,1
ohter,other,0.042275,9,1
decine,decline,0.084766,5,1
wwas,was,0.170762,2,1
cood,cold,N/A,N/A,1
cloths,clothes,0.290616,1,1
gven,given,0.003619,48,1
comnerical,commercial,N/A,N/A,2
opitmal,optimal,0.365758,1,1
aaotyejr,another,0.015910,8,3
eqaulitgy,equality,0.023112,3,2
tte,the,0.022640,6,1
Gvernment,Government,N/A,N/A,1
llquor,liquor,N/A,N/A,1
reweult,result,0.137595,2,2
thougtt,thought,N/A,N/A,1
is,its,N/A,N/A,1
